Adj,Q34698,2
AdjM,Q34698,2
AdjF,Q34698,2
AdjP,Q34698,2
AdjS,Q34698,2
AdjMP,Q34698,2
AdjFP,Q34698,2
AdjIndef,Q3618903,2
AdjNumCardP,Q55951821,2
AdjNumCardS,Q55951821,2
AdjNumOrd,Q923933,2
AdjPoss1p,Q5051,2
AdjPoss1s,Q5051,2
AdjPoss2p,Q5051,2
AdjPoss2s,Q5051,2
AdjPoss3p,Q5051,2
AdjPoss3s,Q5051,2
Adv,Q380057,1
AdvConj,Q380057,1
AdvExcl,Q65248865,1
AdvInterr,Q1668170,1
AdvNeg,Q55965107,1
PreAdv,Q380057,1
ArtContr,Q65249255,0
ArtDef,Q2865743,0
ArtIndef,Q3813849,0
ArtPart,Q576670,0
ConjCoord,Q28833099,0
ConjSub,Q11655558,0
DetDem,Q10265745,0
DetExcl,Q65249593,0
DetIndef,Q28503230,0
DetIndefS,Q28503230,0
DetIndefP,Q28503230,0
DetInterr,Q28503204,0
DetNumCardP,Q576271,0
DetNumCardS,Q576271,0
DetPoss1p,Q30916296,0
DetPoss1s,Q30916296,0
DetPoss2p,Q30916296,0
DetPoss2s,Q30916296,0
DetPoss3p,Q30916296,0
DetPoss3s,Q30916296,0
DetRel,Q28503206,0
PartEnonc,Q65337176,0
Inconnu,Inconnu,0
Interj,Q83034,0
NomComF,Q2428747,3
NomComFS,Q2428747,3
NomComM,Q2428747,3
NomComMS,Q2428747,3
NomComFP,Q2428747,3
NomComMP,Q2428747,3
NomProp,Q147276,2
NomPropFP,Q147276,2
NomPropFS,Q147276,2
NomPropMP,Q147276,2
NomPropMS,Q147276,2
Part,Q184943,0
PartNeg,Q65279776,0
Ponct,Q82622,0
Prep,Q4833830,0
PronDem,Q34793275,0
PronDemNeut,Q34793275,0
PronExcl,Q65283868,0
PronExclNeut,Q65283868,0
PronIndefNeut,Q956030,0
PronIndefP,Q956030,0
PronIndefS,Q956030,0
PronInterr,Q54310231,0
PronInterrNeut,Q54310231,0
PronNumCardP,Q36224,0
PronNumCardS,Q36224,0
PronPers1pCod,Q468801,0
PronPers1pCoi,Q468801,0
PronPers1pRefl,Q468801,0
PronPers1pReflTon,Q468801,0
PronPers1pSuj,Q468801,0
PronPers1pTon,Q468801,0
PronPers1sCod,Q468801,0
PronPers1sCoi,Q468801,0
PronPers1sRefl,Q468801,0
PronPers1sReflTon,Q468801,0
PronPers1sSuj,Q468801,0
PronPers1sTon,Q468801,0
PronPers2pCod,Q468801,0
PronPers2pCoi,Q468801,0
PronPers2pRefl,Q468801,0
PronPers2pReflTon,Q468801,0
PronPers2pSuj,Q468801,0
PronPers2pTon,Q468801,0
PronPers2sCod,Q468801,0
PronPers2sCoi,Q468801,0
PronPers2sRefl,Q468801,0
PronPers2sReflTon,Q468801,0
PronPers2sSuj,Q468801,0
PronPers2sTon,Q468801,0
PronPers3pCod,Q468801,0
PronPers3pCoi,Q468801,0
PronPers3pRefl,Q468801,0
PronPers3pReflTon,Q468801,0
PronPers3pSuj,Q468801,0
PronPers3pTon,Q468801,0
PronPers3sCod,Q468801,0
PronPers3sCoi,Q468801,0
PronPers3sRefl,Q468801,0
PronPers3sReflTon,Q468801,0
PronPers3sSuj,Q468801,0
PronPers3sTon,Q468801,0
PronPersIndefReflTon,Q468801,0
PronPersIndefSuj,Q468801,0
PronPersNeutCod,Q468801,0
PronAdv,Q13049792,0
PronPoss1p,Q1502460,0
PronPoss1s,Q1502460,0
PronPoss2p,Q1502460,0
PronPoss2s,Q1502460,0
PronPoss3p,Q1502460,0
PronPoss3s,Q1502460,0
PronRel,Q1050744,0
PronRelNeut,Q1050744,0
Verbe,Q24905,2
